id,Area,Cruise,Date,T_length,F_length,agebefore,peaks,ageafter,Oto_area,Oto_majorAxis,Oto_minorAxis,Oto_Perimeter,Oto_Length,Oto_Width,Oto_Weight,Mg24,Mg26,Mn55,Co59,Cu65,Zn66,Sr86,Sr87,Ba138,Pb208
C96,AL,Chilkoot,5/2/2006,184,170,3,3,2,5.681118965,3.013247252,2.4413867,9.638571739,3.108642578,2.544555664,0.004,-9.727718518,-9.489801685,-0.037804289,0.055269919,-0.279512649,0.718156317,-364.0641143,279.1652061,-0.729624476,-0.079232292
C103,AL,Chilkoot,5/2/2006,184,170,3,4,2,7.031172276,3.786302567,2.488946438,11.77873516,4.059204102,2.760864258,0.005,-30.74949722,-20.12796297,-0.259013581,-0.249394444,-0.172289243,1.592885717,-122.4849343,259.7115131,0.803705661,-0.086861798
C109,AL,Chilkoot,5/2/2006,184,170,4,5,3,7.164326668,3.922761917,2.498344898,12.79648399,4.293334961,2.823486328,0.005,-30.88560717,-25.79973128,0.148973679,-0.216485104,-0.21831718,-0.664690993,-922.3256423,-46.07222486,0.824742157,-0.068291504
C110,AL,Chilkoot,5/2/2006,184,170,4,3,3,6.530544758,3.579954863,2.43364501,11.24678612,3.977294922,2.716918945,0.005,-32.25192936,-0.509158445,-0.239682973,-0.002775272,-0.3866157,5.940088267,-2191.07306,-406.9837049,0.70676577,-0.082922569
C115,AL,Chilkoot,5/2/2006,184,170,4,4,2,6.738068581,3.737570763,2.434321404,11.83283138,4.254821777,2.663085938,0.005,-44.23917269,-21.56766342,0.722579945,-0.390016106,-0.542628311,5.130859867,473.2314557,829.5908031,0.459493457,-0.081657507
C141,AL,Chilkoot,5/2/2006,194,180,4,4,3,6.940627575,3.721121311,2.530924797,12.36152267,4.226913452,2.832519531,0.005,-36.2712909,-30.04665288,-0.62820732,-0.244225311,-0.165793798,-5.453223535,-623.0342543,-107.5225869,1.034177656,0.04221599
C145,AL,Chilkoot,5/2/2006,184,170,4,4,2,6.216794014,3.52710104,2.366300106,11.07059288,3.947723389,2.613769531,0.004,-21.71106174,-18.71514816,-0.069689513,-0.235623386,0.158653411,5.690165307,-1247.015393,-191.9136199,0.440397339,0.047566438
C147,AL,Chilkoot,5/2/2006,184,170,4,4,3,7.064937592,3.734612465,2.533952475,12.68880844,4.209991455,2.836791992,0.005,-38.79085633,-34.25324714,-0.308515981,1.08438917,0.155351227,-2.051007033,-34.29123428,484.2386111,-0.133240928,0.148538987
C150,AL,Chilkoot,5/2/2006,184,170,6,,,6.744413853,3.526912689,2.533910513,12.02140903,3.833984375,2.703491211,0.005,-30.85881427,-26.02598908,0.892029876,-0.050660196,0.301727202,6.005701717,164.6995857,577.7647731,3.854918486,0.192919145
C153,AL,Chilkoot,5/2/2006,184,170,4,4,3,6.525251865,3.726959705,2.391466618,12.11296558,4.052246094,2.831420898,0.004,-30.19269656,-23.27796106,0.543616548,-0.15207709,-0.198551938,8.121855057,-684.4451043,-502.9814459,2.715262115,-0.021934777
C162,AL,Chilkoot,5/2/2006,184,170,3,4,2,5.91221571,3.443525791,2.337700367,11.27291298,3.923431396,2.771972656,0.004,-33.364295,-22.93509783,-0.034475024,0.011680457,-0.294966189,2.571569007,-1255.896948,-682.0414799,0.834405846,-0.073076525
C167,AL,Chilkoot,5/2/2006,184,170,4,3,2,6.625758648,3.646927118,2.428077459,11.57891273,3.979125977,2.727661133,0.004,-18.09169581,-10.03860354,0.366697443,-0.12707259,-0.234652438,-1.454191173,-2467.789329,-563.9859649,-0.779342947,-0.078962663
C168,AL,Chilkoot,5/2/2006,194,180,6,4,2,7.661567688,3.86097455,2.641750336,12.32056522,4.175537109,2.937011719,0.005,-30.09609246,-25.69975787,0.118941663,0.822525792,-0.094034516,0.998756517,339.5416057,592.6471021,0.821770571,-0.073066065
C172,AL,Chilkoot,5/2/2006,184,170,4,4,3,6.931881905,3.68893218,2.506853342,11.69001865,4.080322266,2.723999023,0.005,-20.93103613,-15.5402015,-0.33921853,0.112168105,-0.322284222,-0.235121713,549.8969257,729.9380171,1.53612529,-0.064563977
C173,AL,Chilkoot,5/2/2006,184,170,7,3,4,6.631742477,3.43984437,2.585243225,12.03223133,3.756958008,2.79486084,0.004,-25.91617167,-17.97353545,0.191724836,0.024331033,-0.312727994,-0.973710193,-1653.083999,-268.3551039,0.869199612,-0.072766952
C174,AL,Chilkoot,5/2/2006,184,170,8,5,4,5.502659321,2.874507904,2.499386072,10.57816124,3.129394531,2.63671875,0.004,-13.3315371,12.44415886,0.347953333,0.04501508,0.122588656,4.343600947,-849.1853323,174.8449971,0.087328812,-0.081185361
C188,AL,Chilkoot,5/2/2006,184,170,4,4,3,7.063261032,3.831596613,2.473237038,12.39398575,4.0859375,2.76776123,0.004,-43.54985404,-24.19759797,0.318040295,-0.027166865,-0.2574645,-6.780199602,472.8018157,697.0116561,0.666658241,-0.052326606
C197,AL,Chilkoot,5/2/2006,194,180,7,5,5,5.766830921,3.036099195,2.482684851,11.82394218,3.208251953,2.650622845,0.004,-19.33318643,-19.00881237,0.247153871,0.040631887,0.296639853,2.346066847,-136.2529043,408.1868831,0.234440184,0.097932893
T4,AL,Taku,4/9/2006,179,166,4,3,3,6.619544506,3.679101706,2.435642242,12.3672514,4.080688477,2.77923584,0.004,-9.405165198,-1.111102915,-0.589448061,0.191572761,-0.174931566,-6.854030316,2532.176626,1489.253038,-0.092352075,-0.076881343
T13,AL,Taku,4/9/2006,192,178,5,3,3,6.906073093,3.631254435,2.52007699,12.23704529,4.009887695,2.740997314,0.005,-29.42598616,-17.53931659,0.672211894,-0.274850873,-0.388390103,-3.442450741,-461.8103643,408.2888761,-0.527078814,-0.076209196
T15,AL,Taku,4/9/2006,180,167,4,3,3,6.705026627,3.594833612,2.465838909,11.43763733,3.940841675,2.684570313,0.004,19.12273539,23.6818199,-0.080328892,0.23075684,0.054825147,-7.247105255,-1793.790075,-336.1301979,-0.294920995,0.159780732
T24,AL,Taku,4/9/2006,179,166,3,3,2,6.280872345,3.501629114,2.39908576,11.14348412,3.91796875,2.647888184,0.004,19.19084369,21.12241537,-0.338440088,0.870556108,0.261935885,-7.502949454,-1294.93249,-48.39008086,-0.98189364,0.179160352
T25,AL,Taku,4/9/2006,180,167,6,4,3,6.885129929,3.693182945,2.527993917,12.12110901,4.223876953,2.781860352,0.004,-5.116932928,1.204903065,-0.55274995,-0.072498552,-0.210641611,-9.628006727,-584.2970243,-457.9467419,-0.188317369,-0.077416284
T45,AL,Taku,4/9/2006,183,169,4,4,3,6.502467632,3.619920731,2.413133621,11.65926743,4.087402344,2.719604492,0.004,-0.612159308,5.529400705,-0.189346357,-0.158582883,-0.060483381,-8.005932992,301.7413057,529.3667921,-0.276351693,-0.054379515
T48,AL,Taku,4/9/2006,179,166,8,3,5,6.606656551,3.661668777,2.392057657,11.60248852,4.053710938,2.604858398,0.004,-30.52915175,-23.99484454,-0.299809519,0.077088434,-0.089509754,-9.737428478,-1657.39745,-240.1234999,-1.022312044,-0.066823398
T54,AL,Taku,4/9/2006,187,173,6,3,2,6.396141529,3.52312398,2.467477798,11.54602814,3.966552734,2.680053711,0.004,-1.193413108,6.644426455,0.437924368,0.092671523,-0.213451993,3.054415837,-2144.796539,-957.9286259,-0.433344903,-0.069823857
T56,AL,Taku,4/9/2006,179,166,5,4,3,6.365959644,3.404482603,2.482627392,11.35232544,3.667572021,2.742675781,0.005,25.94303929,28.14422615,0.773160875,0.024022414,-0.216606913,-1.541739233,-78.75662428,510.8727111,0.825663037,-0.077076445
T64,AL,Taku,4/9/2006,184,170,4,3,3,6.361652851,3.509509802,2.429322243,11.57588482,3.903320313,2.670288086,0.004,45.54926749,55.68294471,0.823626985,-0.229778944,-0.058082601,8.187498257,-2671.893608,-632.4184159,-0.624565967,-0.063193122
T68,AL,Taku,4/10/2006,186,172,4,3,3,6.645879745,3.405936718,2.569755316,11.05059624,3.727111816,2.691894531,0.004,-30.46720203,-7.392501355,0.025785553,0.353682041,-0.089449081,-6.890279488,-434.9183543,352.5359831,0.438774965,-0.061389851
T70,AL,Taku,4/10/2006,179,166,4,4,3,6.537383556,3.603093386,2.442254782,12.00981236,3.923400879,2.724121094,0.004,-24.93606563,-14.08937329,0.545718309,0.041177446,-0.226322818,-7.778588412,1133.478556,773.0478071,0.999581176,-0.082152036
